Date_reported,Country_code,Country,WHO_region,Deaths
2020-05-01,IN,India,SEARO,73
2020-05-02,IN,India,SEARO,71
2020-05-03,IN,India,SEARO,83
2020-05-04,IN,India,SEARO,72
2020-05-05,IN,India,SEARO,195
2020-05-06,IN,India,SEARO,126
2020-05-07,IN,India,SEARO,89
2020-05-08,IN,India,SEARO,103
2020-05-09,IN,India,SEARO,95
2020-05-10,IN,India,SEARO,128
2020-05-11,IN,India,SEARO,97
2020-05-12,IN,India,SEARO,87
2020-05-13,IN,India,SEARO,122
2020-05-14,IN,India,SEARO,134
2020-05-15,IN,India,SEARO,100
2020-05-16,IN,India,SEARO,103
2020-05-17,IN,India,SEARO,120
2020-05-18,IN,India,SEARO,157
2020-05-19,IN,India,SEARO,134
2020-05-20,IN,India,SEARO,140
2020-05-21,IN,India,SEARO,132
2020-05-22,IN,India,SEARO,148
2020-05-23,IN,India,SEARO,137
2020-05-24,IN,India,SEARO,147
2020-05-25,IN,India,SEARO,154
2020-05-26,IN,India,SEARO,146
2020-05-27,IN,India,SEARO,170
2020-05-28,IN,India,SEARO,194
2020-05-29,IN,India,SEARO,175
2020-05-30,IN,India,SEARO,265
2020-05-31,IN,India,SEARO,193
